name,count
disambiguation,2467
content,194153
case,34578
archaic,64
coding,95
cross,2264
reference,14465
between,17668
two,37632
articles,206289
already,16752
place,71294
could,32017
comment,58084
don,52985
t,262791
want,212048
start,19153
into,36538
how,30802
rename,201
move,4059
process,4582
required,20447
without,158041
sense,2236
opposition,1408
support,7520
encounter,217
thanks,281742
input,572
september,104798
sounds,956
good,58631
idea,3031
me,165346
we,235528
assume,1431
statement,3298
abbreviations,100
quite,3278
correct,9888
certainly,2041
right,15563
qualifier,297
based,7322
my,186235
original,34670
suggestion,793
about,606041
really,8941
intended,50499
take,453006
forum,3804
until,10784
gathered,399
fault,546
user,153633
proactive,17
doing,54103
so,132012
requested,1462
renamed,946
consensus,5006
dragons,442
flight,2175
j,15006
p,11180
welcome,1044731
experimenting,177349
seven,6698
wonders,358
world,36107
test,391467
worked,173511
reverted,960014
removed,344032
look,448270
learn,451096
more,563559
contributing,461981
our,342016
encyclopedia,524128
experiment,299823
sandbox,725975
august,76147
stop,196328
continue,232054
ignore,24496
policies,18049
introducing,1964
inappropriate,58016
caroline,215
h,11915
thompson,914
blocked,369740
2,98461
blanking,30966
those,50779
warnings,5067
show,18881
users,126466
warned,1699
helps,1629
whoever,520
allow,2926
info,3732
yourself,51988
since,34246
cannot,6129
accept,97226
should,259078
listen,483
particular,9466
regardless,876
personal,66800
interests,670
pursue,393
formal,3510
permission,2922
relevant,3149
text,44137
obvious,1657
m,42375
trying,16141
honor,990
memory,968
defame,119
sure,13566
obtain,285
personnel,1784
too,8463
late,4878
ignorant,179
people,38166
enjoy,32420
little,7088
because,35909
all,67835
attitude,332
preceding,6286
unsigned,5913
added,80109
delta,857
assert,1510
information,150403
public,12991
domain,4871
autobiographical,23
unless,9824
specifically,11837
mentioned,2721
enough,4856
issues,4199
needs,3945
reliable,15443
3rd,6567
party,7205
sources,21840
backup,473
notability,4042
subject,13115
minimal,560
quotes,729
well,21951
know,25050
pay,1125
homage,77
person,47063
time,219238
read,138613
answer,34518
few,55602
undertow,773
tag,16506
placed,8298
requesting,3247
speedily,4290
done,9049
appears,69539
group,16054
band,9273
club,6802
company,8064
web,33820
does,28981
indicate,4621
notable,8257
included,16295
significance,1795
guidelines,24673
generally,4014
accepted,2691
contest,5531
adding,128693
top,19198
just,37674
below,13464
existing,7031
db,2610
coupled,1419
explaining,6353
position,6524
aware,4488
once,9077
meets,2637
criterion,1577
delay,1658
remove,150788
hesitate,2458
add,121636
confirm,1470
types,1527
check,772173
biographies,11588
sites,30602
bands,1498
companies,3156
feel,159997
free,192513
gravitation,163
distributed,477
temporal,45
curvature,23
involved,8082
editing,552149
interested,4290
discussion,22610
participate,3794
material,11360
instead,66165
host,5395
thesis,118
december,105143
seem,4044
editors,13848
varied,151
experiences,232
open,12512
minded,177
willing,936
help,53998
closed,1620
ready,1311
dismiss,122
examples,985
both,14408
found,79637
above,13516
five,10846
pillars,803
manual,2112
style,5192
especially,5661
helpful,9456
contributors,4412
latter,1348
burdensome,2
comprehensiveness,13
find,20560
many,115906
research,7179
understanding,4855
areas,2413
physics,731
ai,824
discover,179
minor,63954
problem,5888
attempt,5043
sometimes,2069
negative,1069
type,20688
editor,8634
becomes,798
tedious,59
boring,200
am,15180
vehemently,45
against,19941
engaging,272
war,24533
waste,769
energy,2547
something,19216
important,7883
clear,3759
mistake,108429
defend,570
established,4150
put,11523
their,57686
civilly,44
respectfully,90
critical,1841
error,40137
part,15357
staff,1701
expert,544
area,7743
trusted,176
highly,1745
regarded,1119
within,7015
occasional,166
mistakes,5228
deletions,884
automatic,829
rejections,3
edits,765934
experienced,10841
several,21935
times,7646
become,16685
ol,17764
boy,4567
puffed,20
up,49702
similar,5575
academics,96
frequently,90240
superior,520
others,53977
posturing,17
vain,83
ego,144
defense,4235
opinion,3264
insecurity,20
again,190227
regard,853
provide,69623
high,27031
resource,713
ages,730
cultural,827
backgrounds,59
line,10440
meaningful,692
connections,270
push,864
frontiers,67
human,3759
knowledge,6460
stimulating,12
interest,10037
younger,378
folk,483
school,62481
science,3377
teacher,6087
present,3575
create,84688
useful,20823
students,2026
proud,494
contributions,252624
sam,4013
goals,6821
completeness,50
correctness,69
math,443
categories,1898
qualifications,140
these,43793
broad,578
constraints,69
efforts,41872
small,4966
very,16423
lasting,285
positive,98172
change,74638
occurs,305
incrementally,7
course,3728
revolutions,96
whether,5424
truly,614
deliberately,2749
ambiguous,236
ideas,893
intents,26
constrain,5
myself,2549
common,4559
greek,2238
letter,1124
denote,74
uncertainty,137
concept,907
permeates,4
society,1841
different,9530
levels,775
ways,1210
life,7201
minimize,110
respect,1929
vision,497
takes,2245
hold,1802
refrain,105125
making,157110
unconstructive,236458
did,532546
history,30660
greece,2199
appeared,54612
constitute,52848
vandalism,644367
throws,233
balls,1663
u,82579
always,8528
love,4224
back,28805
marks,800
spencer,802
oklahoma,2434
naringenin,1
limonene,42
benzofuran,4
2,130831
drug,1724
unusual,719
effects,1543
profile,518
loosely,139
grouped,94
stimulant,73
antidepressant,18
families,576
mechanism,286
action,5180
along,7151
another,79884
compound,647
classified,1018
serotonergic,8
activity,1239
enhancer,9
means,5743
stimulates,9
impulse,40
propagation,37
mediated,50
transmitter,112
release,4787
neurotransmitters,11
dopamine,44
noradrenaline,5
serotonin,210
brain,731
however,98424
unlike,934
drugs,419
amphetamines,20
flood,1265
uncontrolled,38
manner,44151
only,73565
increases,337
amount,33615
neurotransmitter,25
gets,1799
when,107463
neuron,57
stimulated,18
receiving,1609
neighbouring,149
while,57196
increase,1192
get,17143
cause,4456
neurons,17
dump,128
stores,324
synapse,11
external,84475
pattern,1273
changed,111776
normally,1404
larger,1080
than,76180
normal,1313
produce,21472
effect,2807
endogenous,11
trace,3121
amines,10
tryptamine,93
mao,232
b,23701
inhibitor,91
potent,140
monoamine,17
oxidase,58
weak,774
doses,96
low,4487
produces,491
shown,10745
researched,117
treatment,713
alzheimer,105
disease,1752
parkinson,51
clinical,184
depression,4573
abt,110
anabasine,19
arecoline,20
cytisine,19
nicotine,108
amphetamine,107
dextroamphetamine,23
ephedrine,29
epinephrine,38
methamphetamine,121
pia,56
phenmetrazine,19
phenylephrine,20
pseudoephedrine,21
synephrine,19
methyl,552
pemoline,20
naphthyl,25
piperidine,26
carboxylate,72
methylphenidate,48
win,12927
cit,44
rti,250
cocaine,483
fe,449
fp,68
pit,1150
ptt,94
cpt,105
wf,99
diphenyl,23
lr,72
nikethamide,19
yohimbine,21
phenyl,33
although,166889
newer,198
less,4400
impact,1262
affects,115
mainly,921
tyramine,3
inhibitory,8
bis,114
carbomethoxy,18
o,18421
derivative,584
acts,1155
animal,1368
studies,679
slower,546
onset,75
longer,7028
duration,569
explicitly,320
illegal,1199
anywhere,801
might,47445
considered,190679
controlled,824
substance,303
analogue,106
grounds,940
related,17003
chemical,2107
structure,3451
jurisdictions,53
usa,6125
canada,8426
australia,8793
zealand,4968
scientific,929
structurally,25
derived,632
around,15166
lasts,55
salt,588
most,19919
commonly,730
form,6587
due,53170
solubility,31
water,3624
base,4665
hydrochloride,39
salts,24
known,9777
compounds,246
produced,3139
molecular,196
formula,3305
smiles,129
cc,1792
f,11565
oc,51
weight,990
anhydrous,11
melting,111
point,32538
optical,380
rotation,450
d,32536
discovered,10769
during,19942
wide,3220
variety,948
derivatives,216
various,3448
n,14876
alkylated,6
even,23726
widely,1107
itself,4845
forms,1657
humans,349
animals,716
map,2829
distribution,858
transporters,10
particularly,3279
application,575
fluorine,99
atom,316
substituted,347
radioactive,131
isotope,60
positron,14
emission,83
tomography,28
radioisotope,4
where,30304
carbon,918
either,18894
replaced,3245
now,27285
quicker,122
easier,1144
practice,2465
methylating,2
nor,22150
reacting,49
bromide,32
avoids,81
requirement,261
licence,429
restricted,366
precursor,134
ecgonine,2
addictive,28
taken,17036
often,3464
potentially,3032
suitable,1632
substitute,687
methadone,30
opiates,2
treating,94
addiction,200
abuse,16978
according,6716
supplier,69
sigma,522
schedule,1673
germany,5953
presumably,354
dea,51
german,5528
unclear,613
basis,1301
legal,3974
federal,2854
analog,210
act,6078
probably,33966
illegality,15
countries,7487
never,6703
announcement,440
us,34206
government,10063
substances,113
list,96064
possibly,2341
law,14128
structural,264
similarity,160
substantially,362
having,40714
removal,8310
ester,56
linkage,46
rather,56509
substituting,42
extra,2066
groups,3673
onto,1138
para,304
intent,2057
solely,603
relatively,880
complex,1101
synthesis,252
fact,42911
main,18517
synthetic,111
routes,554
proceed,4409
via,9332
intermediate,674
fairly,1004
unlikely,725
appear,233089
recreational,90
market,1858
categorizes,5
toxic,159
recommends,127
gloves,106
goggles,67
protective,88
apron,21
respirator,6
handling,316
states,30813
fume,13
hood,659
supported,1565
toxicology,37
widespread,528
period,12583
extreme,934
caution,41723
difficult,1549
reconcile,28
pharmacological,40
properties,409
reflect,15184
concerns,2214
potential,1645
poisoning,165
data,4264
sheet,184
notes,2123
serious,5915
occur,627
following,168657
exposure,209
including,32817
stimulation,29
dilation,37
eye,1414
pupils,51
euphoria,43
breathing,167
difficulties,310
nervousness,8
restlessness,6
hypertension,61
fainting,37
paleness,2
arrhythmia,8
cardiac,95
arrest,500
convulsions,19
death,4975
prolonged,86
repeated,20482
result,27283
habituation,2
medical,1481
uses,57743
developed,2163
stimulants,14
commercially,140
available,3713
limits,331
significant,4978
outside,3744
strictly,454
setting,967
iodine,91
transporter,36
isotopes,31
depending,419
practical,237
medicine,702
assess,452
rate,12315
degradation,216
brains,93
sufferers,18
conditions,11291
progressive,508
supranuclear,1
palsy,80
throughout,3267
same,15726
potency,33
lack,1795
metabolically,3
labile,4
link,234112
rings,441
removes,103
local,4082
anesthetic,6
pure,470
makes,4095
slightly,1064
cardiotoxic,1
tartrate,2
alternative,1683
stringent,37
licensing,665
requirements,1089
instances,393
abused,95
recreationally,15
despite,4326
easily,2756
made,355375
reaction,1728
relative,407
scarcity,43
demanding,199
production,2172
beyond,1233
capacity,676
illicit,39
manufacturers,414
legitimate,94978
supplies,515
quantities,101
price,1219
somewhat,1077
precedent,204
set,8100
determine,2137
simplification,15
molecule,236
instance,1017
previous,5737
designer,335
substituent,5
laws,3510
covering,440
substitution,82
excessively,47
extremely,1072
problematic,161
standpoint,63
ethanol,279
ruling,386
functional,146
enzymology,469
borneol,7
dehydrogenase,448
ec,612
enzyme,2570
catalyzes,478
thus,3649
substrates,400
nad,353
whereas,1002
products,1413
camphor,14
belongs,2079
family,4230
acting,980
ch,827
oh,2114
donor,259
acceptor,196
systematic,584
name,49606
class,23389
oxidoreductase,274
fenchol,5
geranyl,7
diphosphate,49
lyases,121
oxygen,604
phosphates,10
lyase,178
cyclizing,10
forming,676
names,6886
cyclase,13
pyrophosphate,13
participates,319
biosynthesis,115
menthol,17
menthone,3
called,7347
menthane,1
diol,32
paired,158
donors,81
oxidant,65
incorporation,142
reduction,301
incorporated,824
l,29987
half,6965
affinity,47
isomer,57
virus,711
classification,1438
ball,5830
sticks,85
representation,562
real,4760
source,28027
system,11344
click,138993
date,72469
view,63708
file,91187
animated,402
w,12249
dansk,13029
english,27327
esperanto,11280
ais,17280
magyar,12706
indonesia,12225
ido,9166
norsk,20731
ng,10638
k,15770
graphics,827
legally,10638
possible,27862
grant,5069
anyone,12408
purpose,8165
afrikaans,3718
tagalog,3681
hant,3642
discussing,4000
improvements,1829
grading,1629
suppose,451
beta,558
section,13938
though,8726
adds,6440
clutter,92
direction,1098
repetition,86
chart,2022
far,17035
conform,779
typical,573
leaving,2025
identifiers,13
objection,351
try,42576
improved,2239
lot,4141
chemistry,504
analogues,26
etc,3726
re,39270
titled,685
pharmacology,24
medicinal,15
clarity,166
thoughts,840
november,125986
hereby,207
award,3159
prestigious,162
strangest,5
congratulations,209
picaroon,89
april,165230
whats,464
strange,657
legality,139
difference,1447
isn,3674
exactly,1782
still,23489
valid,12010
avoid,48771
ugly,325
skip,541
next,107096
paragraph,2314
substitutional,2
bread,296
butter,393
chemist,46
rendered,456
certain,2379
passed,2677
long,15610
ago,1680
indeed,1529
evade,244
subtle,584
alterations,74
maintaining,384
identical,554
backbone,62
pronounce,54
taking,4115
removing,23030
least,162486
matter,3807
acid,1785
admittedly,106
youre,45
actually,5449
bonds,502
tough,420
break,1990
moral,344
story,3511
pairs,294
molecules,60
backbones,3
dissimilar,17
merit,1435
wouldn,1222
court,3828
down,10134
end,15566
moot,114
stupid,988
vague,236
caffeine,117
nitrogen,294
atoms,100
argued,456
fit,1104
alexander,1994
engineer,1049
portal,3801
able,99371
recruit,196
quantum,288
field,15524
theory,2247
fermions,2
unitary,66
hermitian,8
operator,33673
multiplies,5
bosonic,4
global,2037
internal,913
symmetry,65
corresponds,202
splits,68
space,4483
superselection,2
sectors,121
operators,174
commute,15
shows,3896
utility,204
theories,873
seidel,6
adjacency,4
matrix,346
geometric,132
topology,77
pretzel,26
knot,144
stern,265
example,5572
exhibit,125
interesting,1626
phenomena,76
dimensional,356
four,48771
surgery,356
constructions,30
sarcasm,72
hello,48649
hope,77678
decide,28222
stay,29840
ever,5527
visit,3698
pointers,167
title,9104
naming,1094
conventions,712
project,14967
question,42585
village,3872
pump,2845
michael,7237
full,11548
length,2071
rock,4683
ensemble,106
parenthetical,37
girls,1812
originally,4652
january,137046
vinyl,202
format,3310
slender,24
label,1547
cd,1093
expanded,772
features,1371
total,38731
unique,1775
given,7083
mixing,142
stewart,1403
split,1602
sides,1401
x,16801
respectively,1127
version,11528
standard,3078
play,10491
enhanced,192
art,7429
american,16881
artist,2853
bonus,559
track,4618
yo,860
ok,2188
im,1222
survey,606
fans,2309
saying,3307
wish,92322
mail,3118
com,21518
whatever,2824
best,18913
pair,890
beat,4193
cousin,169
let,9486
y,4934
ya,559
later,12534
literal,115
interpreted,246
syntactic,7
marker,157
speak,7093
man,10171
film,13833
icelandic,128
october,130805
comprises,248
eight,3857
untitled,83
tracks,1983
divided,906
parts,2123
light,4144
optimistic,50
bleaker,3
melancholic,3
halves,93
second,24929
silence,260
opens,179
closes,51
distortion,86
consists,653
opposing,410
parentheses,253
official,6831
members,6196
bracket,384
referred,1186
brackets,583
packaging,1155
elaborate,196
consisting,607
plastic,435
sleeve,261
cut,2622
reveal,376
nature,1927
shot,3594
printed,3150
underneath,215
apart,1241
sleepwalking,14
child,1575
identification,2534
booklet,69
thick,425
tracing,36
paper,1520
black,6737
white,6584
shots,631
invited,1217
draw,1850
own,27621
interpretations,874
music,10307
covers,2312
sale,478
america,1466432
europe,733813
japan,4945
limited,10077
edition,2705
spain,4908
contains,26684
contemporary,706
remain,1614
circulation,828
today,3399
vocals,278
recorded,2691
meaningless,170
syllables,16
resembles,113
scat,12
singing,359
language,5902
named,5869
von,1354
syllable,26
strings,141
sung,262
vocalist,112
whole,4125
video,6338
directed,1007
won,17885
awards,4132
edinburgh,259
scotland,2558
snippet,18
heard,1696
trailer,195
invasion,2348
engineered,72
ken,1221
thomas,4440
who,47167
tis,170
majority,2138
accompanied,330
string,540
quartet,84
comprised,533
young,3491
women,5497
sold,1250
worldwide,952
officially,1900
working,2691
titles,3186
plays,1790
live,3904
recordings,283
silent,323
morgan,1000
fisher,509
entirely,1324
close,4135
ups,258
considering,855
status,9119
ingenious,13
susan,345
said,12307
his,41621
movie,2850
inserts,65
instrumental,233
they,68438
job,1786
anything,5327
else,16705
remarkably,78
beautiful,496
beauty,352
hard,18362
thing,7827
registers,55
news,5321
expository,13
conveys,32
chance,2016
learned,442
root,422
parenthesis,50
word,3659
inserting,3106
filmed,206
colour,670
screened,104
york,13335
festival,1546
toronto,3132
international,8717
wavelengths,14
programming,1206
left,17757
raters,61
refresh,281
completed,4109
cover,8905
technical,1302
details,28883
prose,500
excluding,222
lead,18982
listing,917
containing,879
lengths,229
authors,486
guest,527
musicians,463
categorisation,55
casual,163
reader,1583
meant,3336
pronounced,312
nothing,4095
gap,849
speaking,892
fantom,3
spy,805
machine,8835
dec,2683
variants,153
eu,370
aussie,145
releases,611
got,8372
iceland,606
didn,10052
spanish,4470
pressing,1326
housed,94
finds,757
completely,2878
irrelevant,44877
giving,2577
sufficient,1618
tour,4894
recording,1494
studio,1389
played,15358
mention,2876
seems,6082
TRUE,3931
interpretation,454
debate,1972
petition,169
location,1655
distinct,424
necessary,2294
million,4207
aside,592
references,11677
independent,2502
reviews,533
relying,91
primarily,989
ony,18
stub,3172
upgrading,445
instructions,27885
films,3271
contribute,100604
met,2306
links,188078
better,7576
ref,976
waf,207
fulfilled,252
reassessed,390
automatically,144696
fill,3388
checklist,1695
call,6522
lt,17512
suitably,1659
referenced,2813
major,12984
points,20373
appropriately,1269
cited,2513
gt,18834
yes,11904
reasonably,2425
topic,5595
contain,4765
omissions,1656
inaccuracies,1770
defined,2516
sections,7045
grammatical,1823
errors,3315
supporting,2818
materials,6758
diagrams,1700
ros,35
looking,8036
none,2231
provided,5397
offer,995
commentary,6792
impartial,75
perspective,511
every,6359
critics,733
newspapers,574
festivals,234
everyone,237430
teng,31
hi,63958
islands,4350
thought,4108
visiting,863
task,1273
force,10989
attacks,20880
gay,1971
strict,810
attack,6664
tolerated,15177
administrators,41345
banned,2575
arbitration,3114
committee,2480
invite,84026
constructively,94026
further,78335
warning,452542
improving,42822
damaging,41304
surrounded,284
hydroxylase,81
aba,196
carotenoid,3
general,12597
bicyclic,7
cadinene,5
hence,919
substrate,103
trans,391
terpenoid,2
employs,105
cofactor,71
magnesium,144
cis,146
carvone,2
terpenes,1
pinene,12
skeletal,135
ben,3153
mills,500
grants,1275
stick,1028
model,2514
nominally,1197
pixels,1240
size,3518
kb,1247
created,18921
wood,1115
bm,32
chem,38
soc,52
ds,821
visualizer,14
pro,2202
gimp,94
binary,337
mary,2235
blood,1613
believed,2850
belong,1752
record,14079
graphic,1390
obtained,1132
entire,15936
product,11316
properly,2459
convey,1414
meaning,3480
branding,876
tarnishing,770
misrepresenting,855
copy,3166
resolution,4051
lower,2370
inferior,667
unsuitable,665
artwork,1962
pirate,788
versions,1930
compete,1956
commercial,10777
context,2268
serves,1029
contribution,14628
practically,708
conveyed,575
words,5721
alone,2466
primary,2268
visual,1532
associated,2256
quickly,4096
purposes,2090
namely,802
providing,1906
design,3337
services,3202
turn,2989
marketing,1174
musical,2552
replaceable,1025
copyrighted,6855
inadequate,687
photograph,1336
painting,609
front,5677
graham,1804
bowers,30
reason,110192
confusion,4953
arthur,1575
originated,266
asked,90060
upload,4663
consequently,288
qualifies,5393
united,33847
elsewhere,5140
infringement,4464
non,33160
setup,19424
transgression,8
red,9283
wharf,77
additional,17471
digital,16625
camera,15336
scanner,14440
digitize,14313
modified,29489
state,35542
fully,15813
eternal,164
ghosts,106
acetyl,103
cyclohexanone,3
cleave,55
ceres,222
dwarf,502
planet,1661
van,3032
en,21259
files,2410
notify,668
asteroid,13552
te,2813
belt,9708
charles,3903
de,15658
saint,2363
observatory,1664
examining,73
citation,4462
helena,135
miriam,85
hera,72
ml,139
unnamed,229
near,7496
earth,4739
approximately,1786
km,6538
diameter,575
amor,92
orbits,215
mars,1014
surface,1198
composition,356
unknown,1714
eleanor,179
jeff,3122
june,100798
v,6655
effort,2364
reach,1824
orbit,887
ranking,959
fifth,3615
amongst,517
asteroids,381
cheap,177
spacecraft,184
target,1589
muses,16
reasons,3586
consideration,465
european,5868
agency,1485
candidate,836
mission,2606
study,1126
impacting,46
ret,46
artemis,299
camilla,53
hecuba,9
ate,147
iphigenia,6
written,11884
neptunian,106
object,1731
resides,105
chad,979
david,8828
jane,725
jun,3058
orbital,1389
resonance,134
neptune,369
pluto,461
classifies,19
ht,212
travels,115
eccentric,76
perihelion,144
closest,332
approach,1454
sun,2165
aphelion,41
farthest,44
peak,1885
national,19942
arizona,1995
harvard,630
lists,2218
linear,359
om,289
scattered,201
disc,786
region,2840
solar,1531
marc,666
kern,52
althaea,7
kc,412
resonant,15
located,7034
highest,2164
reddest,6
measured,321
color,2640
index,2224
visible,3183
spectrum,415
orange,2530
brown,16711
albedo,74
absolute,390
magnitude,1701
estimated,1426
cy,220
residing,49
semi,2178
axis,406
rarely,285
formed,5164
quasi,75
circular,151
lying,346
perfectly,519
ecliptic,62
direct,2076
outward,44
planetary,258
migration,184
wc,285
orbiting,218
categorized,134
natural,1816
satellite,1124
reported,5088
net,3661
victoria,2218
lachesis,11
fy,59
neat,98
program,2861
california,7916
op,373
fragment,66
parent,497
body,2641
el,4560
sm,157
tx,197
sb,366
henry,2916
roe,193
distance,1624
brunhild,5
liberatrix,10
crosser,53
kilometers,320
expected,4305
pass,7215
velleda,5
nemesis,87
antigone,40
egeria,8
elektra,36
jg,145
la,9870
apl,12
sophrosyne,6
charon,61
moon,1558
nix,39
hydra,80
austria,1679
nicknamed,222
santa,1192
large,38129
roughly,511
mass,2116
al,7542
sierra,444
nevada,727
mike,6626
currently,24823
gives,9083
discovery,641
credit,1113
announce,150
moons,91
rapid,713
elongation,9
crystalline,42
ice,5571
exceptional,154
among,7109
largest,1904
member,4424
collisional,8
event,10106
responsible,1723
characteristics,355
published,7231
designated,1184
team,26141
stems,48
christmas,1126
acquired,580
formally,401
deity,83
creation,8007
myth,225
submitted,484
hawaiian,285
mythology,1234
satellites,144
discoverers,31
astronomer,236
colleagues,123
francisco,2346
castro,466
pablo,906
santos,273
announced,2965
analysed,30
observations,324
scoured,13
older,896
archives,915
dating,352
observing,96
smarts,3
telescope,301
collaborators,49
initially,1676
withdrew,633
suspect,914
inadvertently,230
publicly,389
abstract,289
report,208997
code,2654
typing,4964
internet,20927
search,20938
engines,871
allowed,4576
observation,365
logs,5007
observed,569
positions,1590
server,5073
indicated,1552
accessed,150
address,239174
computers,35776
accused,1169
breach,300
ethics,247
center,7141
strip,526
admitted,535
he,41645
day,18881
denied,782
wrongdoing,43
him,11037
curiosity,91
month,3383
realized,306
seemed,1199
informal,177
designation,797
ended,5069
log,144384
ambiguity,115
submit,591
detecting,20
standing,973
protocol,822
positional,51
decent,262
determination,201
imagery,289
follow,9099
historic,972
circumstances,548
database,1046
shortly,17016
eris,124
distant,146
earlier,2753
planned,1083
urging,90
forestall,21
possibility,724
leaking,38
method,3544
estimate,303
assuming,600
value,1649
objects,677
thermal,226
directly,2163
kg,332
plutonian,2
rotates,22
hours,8426
faster,477
distorted,109
triaxial,2
ellipsoid,20
displays,213
fluctuations,21
brightness,91
mottled,3
fluctuation,8
elongated,60
shape,514
density,323
denser,11
suggesting,1503
substantial,1067
compare,613
together,2674
give,6946
dimensions,176
longest,905
dimension,179
shortest,102
fourth,7760
arguably,276
short,8377
caused,3689
giant,1351
rapidly,888
rotating,117
suggested,1123
varuna,34
elongate,2
smaller,32993
traveling,242
proportion,357
postulated,19
remnants,441
past,3497
surfaces,80
ejected,119
mantle,199
gemini,122
spectra,41
strong,2873
typically,520
amorphous,26
unstable,84
years,22333
hints,4253
resurfacing,6
processes,183
producing,344
fresh,793
surprising,267
inferred,541
remainder,621
approaching,311
snow,980
recent,423961
measurements,156
imply,466
higher,2948
classical,639
significantly,761
inclined,188
diagram,298
yellow,1653
grey,1129
q,1933
inclination,135
surveys,51
took,13157
combined,1589
slow,902
mean,3523
motion,1107
explain,14626
recently,8683
spite,195
provisional,621
numbered,492
semimajor,6
eccentricity,140
mutual,283
seen,5396
occurred,2801
absorption,77
infrared,192
depth,700
suggests,572
much,11834
covered,2274
inner,469
away,5221
assumption,353
implies,370
parameters,147
physical,35856
origin,1001
disruptive,47823
progenitor,11
identified,39320
includes,2276
dispersion,27
proper,3769
elements,1389
percent,595
illustrates,467
relation,370
neutral,22615
colours,320
deep,1412
formation,1630
requires,24570
formational,2
collision,346
lost,6861
mostly,1448
became,7580
accounted,106
spread,1046
initial,1409
velocity,274
dispersed,120
fragments,108
applies,3344
require,8951
mis,138
match,7097
suggest,3407
closer,897
chaotic,82
lg,242
population,2107
led,6975
prior,2727
eventually,2680
receive,36327
permanent,741
astronomical,309
union,7206
visually,106
brightest,33
apparent,813
nearly,2491
bright,415
amateur,807
detection,199
spitzer,60
similarities,139
yielded,113
showed,1183
measuring,106
william,4932
herschel,65
galileo,186
opposed,887
comparison,678
marked,17313
presence,796
methane,79
prominent,596
transient,34
atmosphere,357
detected,262
situation,30599
easter,468
rules,3630
fainter,17
angular,45
maximum,1208
northern,4120
coma,76
searches,166
planets,405
conducted,1044
greater,1397
probability,208
finding,946
degrees,438
border,1767
taurus,104
auriga,23
unfortunately,3839
galactic,75
equator,208
impossible,789
dense,97
concentration,445
background,2032
stars,1952
milky,123
continued,6524
searching,357
failed,3841
follows,1681
moderately,82
farther,151
terms,4117
perihelia,5
perturbation,13
contrasted,28
aphelia,4
dates,2376
passage,640
spheres,68
illustrating,89
sizes,152
differences,553
illustrated,319
apollo,610
nea,2069
determined,6570
bd,74
soon,10486
plates,207
precise,228
spotted,287
mercury,871
radius,148
inactive,201
extinct,112
comet,1656
hasn,647
caught,1733
displaying,184
cometary,20
temperature,599
reaches,258
melt,42
zinc,200
aluminium,245
albert,1153
einstein,427
relativity,179
comes,1805
cr,606
smallest,333
someone,21996
creator,87510
characters,14745
concerned,947
clever,173
couple,2039
weird,610
things,8634
turkic,19
confuses,35
screen,1222
readers,7083
perhaps,4190
squares,117
browser,3636
fonts,37
importantly,267
heck,146
computing,710
dark,1990
nicholas,554
realise,276
safe,634
claim,4195
